id,user_id,post_type,content,recipient_id,isView,created_at
1,228,story,Workout routine suggestions?,584,TRUE,2023-11-20 01:51:00
2,833,story,Studying for exams.,271,FALSE,2023-10-24 15:05:00
3,671,story,Gardening is relaxing.,651,FALSE,2024-01-25 03:25:00
4,804,story,Looking for book recommendations.,502,FALSE,2023-12-07 20:58:00
5,152,story,Gardening is relaxing.,491,FALSE,2023-11-13 02:58:00
6,822,story,Game night was fun!,196,TRUE,2023-10-01 10:47:00
7,371,story,Weekend hiking plans?,664,TRUE,2023-11-13 08:24:00
8,615,story,Morning run felt great.,91,FALSE,2023-10-09 21:16:00
9,387,story,Studying for exams.,796,TRUE,2024-01-07 03:15:00
10,706,story,Game night was fun!,519,FALSE,2024-01-21 02:12:00
11,281,story,Book club tonight.,743,TRUE,2024-01-19 09:28:00
12,763,story,Book club tonight.,470,FALSE,2023-10-17 19:33:00
13,269,story,New podcast episode out.,266,TRUE,2024-02-20 10:28:00
14,663,story,Loved the new movie.,494,FALSE,2023-12-24 13:29:00
15,284,story,Coffee time is the best.,140,FALSE,2024-02-18 03:49:00
16,885,story,Looking for book recommendations.,733,FALSE,2024-02-14 20:34:00
17,903,story,Game night was fun!,502,TRUE,2023-11-19 16:01:00
18,398,story,Morning run felt great.,462,FALSE,2024-01-15 04:10:00
19,903,story,Game night was fun!,257,FALSE,2023-10-20 18:04:00
20,533,story,Morning run felt great.,871,TRUE,2023-12-20 21:38:00
21,989,story,Sunny days ahead!,688,FALSE,2023-11-20 11:20:00
22,57,story,Weekend hiking plans?,682,FALSE,2024-02-15 01:17:00
23,674,story,Game night was fun!,282,FALSE,2024-01-29 18:17:00
24,977,story,Weekend hiking plans?,603,FALSE,2023-11-27 20:52:00
25,433,story,Coffee time is the best.,567,FALSE,2024-01-20 00:44:00
26,604,story,Coffee time is the best.,597,FALSE,2023-11-29 17:47:00
27,975,story,Looking for book recommendations.,999,FALSE,2023-10-10 04:30:00
28,433,story,New podcast episode out.,529,FALSE,2023-12-21 14:50:00
29,955,story,Weekend hiking plans?,97,TRUE,2024-01-23 20:46:00
30,271,story,Gardening is relaxing.,466,TRUE,2023-12-26 08:06:00
31,801,story,Who's up for yoga?,130,TRUE,2023-12-22 11:55:00
32,37,story,Loved the new movie.,140,FALSE,2023-11-15 12:49:00
33,159,story,Gardening is relaxing.,35,FALSE,2023-12-22 10:09:00
34,866,story,Trying new recipes.,627,FALSE,2023-10-18 08:58:00
35,862,story,Who's up for yoga?,41,TRUE,2023-10-24 21:28:00
36,445,story,Workout routine suggestions?,529,FALSE,2023-12-31 13:28:00
37,442,story,Trying new recipes.,576,FALSE,2023-11-23 18:42:00
38,113,story,Game night was fun!,479,FALSE,2024-01-28 19:09:00
39,561,story,Weekend hiking plans?,106,FALSE,2023-11-25 00:24:00
40,35,story,Sunny days ahead!,434,TRUE,2024-02-17 21:22:00
41,621,story,Sunny days ahead!,462,TRUE,2023-11-14 15:10:00
42,198,story,Weekend hiking plans?,311,FALSE,2024-02-01 15:03:00
43,664,story,Baking cookies today.,497,FALSE,2023-10-09 10:27:00
44,500,story,Sunny days ahead!,41,FALSE,2023-12-23 08:06:00
45,805,story,Morning run felt great.,860,FALSE,2023-12-08 18:13:00
46,244,story,Morning run felt great.,714,TRUE,2023-11-30 00:24:00
47,993,story,New podcast episode out.,884,FALSE,2023-10-21 00:39:00
48,783,story,New podcast episode out.,205,TRUE,2023-10-03 15:18:00
49,339,story,Loved the new movie.,896,TRUE,2023-11-19 06:53:00
50,247,story,Trying new recipes.,706,TRUE,2024-02-11 06:46:00
51,282,story,Weekend hiking plans?,460,TRUE,2024-02-02 08:25:00
52,159,story,Loved the new movie.,761,TRUE,2024-01-05 00:48:00
53,705,story,Loved the new movie.,260,FALSE,2023-10-22 11:23:00
54,938,story,Studying for exams.,801,FALSE,2024-01-08 06:53:00
55,981,story,Trying new recipes.,201,TRUE,2023-10-07 10:00:00
56,442,story,Weekend hiking plans?,185,FALSE,2024-02-17 23:01:00
57,561,story,Game night was fun!,400,FALSE,2023-10-03 10:47:00
58,479,story,Sunny days ahead!,189,TRUE,2023-10-12 13:54:00
59,354,story,Workout routine suggestions?,181,TRUE,2024-01-30 10:28:00
60,404,story,Coffee time is the best.,189,TRUE,2023-11-30 01:18:00
61,190,story,Gardening is relaxing.,77,TRUE,2024-01-19 01:37:00
62,999,story,Sunny days ahead!,469,TRUE,2023-10-02 11:12:00
63,3,story,Loved the new movie.,678,FALSE,2023-12-03 16:22:00
64,182,story,New podcast episode out.,210,TRUE,2024-02-18 08:51:00
65,856,story,Studying for exams.,738,TRUE,2023-10-29 23:03:00
66,283,story,Book club tonight.,466,FALSE,2023-12-28 19:22:00
67,618,story,Studying for exams.,561,FALSE,2024-01-08 04:05:00
68,871,story,Baking cookies today.,476,TRUE,2024-02-20 23:20:00
69,235,story,Morning run felt great.,936,TRUE,2023-11-21 03:40:00
70,392,story,Book club tonight.,512,TRUE,2023-10-12 01:56:00
71,182,story,New podcast episode out.,221,FALSE,2024-02-15 20:29:00
72,62,story,Studying for exams.,347,TRUE,2024-01-14 18:10:00
73,796,story,Baking cookies today.,41,FALSE,2023-11-22 22:39:00
74,683,story,Game night was fun!,91,FALSE,2023-11-04 03:54:00
75,149,story,Trying new recipes.,196,TRUE,2023-10-31 10:32:00
76,603,story,Trying new recipes.,23,TRUE,2024-02-14 02:11:00
77,553,story,Studying for exams.,621,FALSE,2023-11-01 11:48:00
78,886,story,Sunny days ahead!,164,FALSE,2023-11-15 00:36:00
79,629,story,Sunny days ahead!,849,FALSE,2024-02-17 19:23:00
80,284,story,Game night was fun!,324,TRUE,2024-01-16 01:25:00
81,838,story,Who's up for yoga?,616,FALSE,2023-12-12 23:23:00
